,maximum_x,minimum_x,entropy_x,interquartile_range_x,maximum_y,minimum_index_y,mean_absolute_deviation_y,median_y,skewness_y,standard_deviation_y,RMS_y,skewness_z,activity
415,0.296881,0.215478,3.1559130951758245,0.01436599999999999,0.02873,3.0,0.01200287111111109,-0.0239419999999999,0.5159091604466903,0.016706817131405434,0.026888988275252487,-1.0147685343507094,idle
416,0.296881,0.215478,3.324092480429717,0.01915400000000006,0.02873,1.0,0.012364671111111092,-0.0239419999999999,0.6248851012510797,0.016858619254817065,0.026488028415997022,-1.1029183292963618,idle
417,0.296881,0.215478,3.377747162910944,0.01915400000000006,0.02873,4.0,0.011534755555555542,-0.019154,0.06058167939397617,0.015829868197668462,0.02460318758345483,-0.8238996551220293,idle
418,-0.02873,-0.162806,4.081727678869736,0.038306999999999994,0.009577,19.0,0.01894083111111113,-0.1292869999999999,-0.14319958904903535,0.03343515181709547,0.13508612193893194,-0.6897977986547931,idle
419,0.296881,0.225055,3.2574258137630507,0.01915400000000006,0.02873,2.0,0.00993850666666665,-0.019154,-0.06839204534285469,0.01398408243539775,0.02397382951053084,-0.8889543190498934,idle
420,0.287304,0.23942,3.035591746027931,0.01915400000000006,-0.004788,0.0,0.008427533333333313,-0.019154,-0.1790773602950014,0.010688118234750204,0.022493535413536023,-0.20119944742893736,idle
421,0.287304,0.23942,3.0178561135066153,0.01915400000000006,0.0239419999999999,29.0,0.009257666666666647,-0.0167595,-0.2684941948193804,0.012482579007916925,0.021803439861636485,-0.8954498018596191,idle
422,0.287304,0.23942,3.097534764358721,0.01915400000000006,0.0239419999999999,27.0,0.009193804444444427,-0.014365,-0.45230771275421255,0.012705067452879644,0.020651259152894265,-0.62196482362922,idle
423,0.287304,0.23942,3.1096856969120643,0.01915400000000006,0.0239419999999999,29.0,0.009789697777777762,-0.014365,-0.7003747860010335,0.013674678459920785,0.02225447071339447,-0.7445560266229871,idle
424,0.287304,0.23942,3.1096856969120643,0.01915400000000006,0.0239419999999999,27.0,0.010087648888888873,-0.014365,-0.6220886511831906,0.013856063735619678,0.022116672233860116,-0.10178058421805072,idle
425,0.287304,0.234632,3.1940879961000466,0.01915400000000006,0.0239419999999999,29.0,0.011130439999999983,-0.014365,-0.8202209338738347,0.015179202926702025,0.02394195333509776,-0.03234369474855385,idle
426,0.287304,0.234632,3.147860597836286,0.01915400000000006,0.0239419999999999,27.0,0.01036431777777776,-0.014365,-0.7177593406994969,0.014677482273840026,0.023130121167718346,0.15288946394658057,idle
427,0.287304,0.234632,3.1600115303896286,0.01915400000000006,0.0239419999999999,25.0,0.01037496666666665,-0.0167595,-0.32604054533789634,0.014685290122545505,0.023507065453461692,0.43028180617388434,idle
428,0.287304,0.234632,3.1600115303896286,0.01915400000000006,0.0239419999999999,23.0,0.011258055555555528,-0.019154,-0.06195406851702309,0.015438856928938144,0.02485054408458693,0.5327610218515908,idle
429,-0.033519,-0.162806,4.015061012203069,0.038306999999999994,-0.110133,17.0,0.01479095555555556,-0.1292869999999999,-0.958425072718093,0.020483500023975944,0.137366754634567,-0.9775324530733679,idle
430,0.287304,0.234632,3.164735178725505,0.01915400000000006,0.0239419999999999,21.0,0.011449742222222198,-0.014365,-0.7992874118787908,0.015576874869997339,0.02419605738682782,0.0652534086159111,idle
431,0.287304,0.234632,3.217856113506615,0.01915400000000006,0.0239419999999999,19.0,0.011598733333333307,-0.014365,-0.7629157939092703,0.015691771091350153,0.024148624396294952,-0.3032427812501054,idle
432,0.287304,0.234632,3.32742132943338,0.01915400000000006,0.0239419999999999,17.0,0.01142849333333331,-0.014365,-0.7339613773582503,0.015658453366259786,0.024005789689850492,-0.12878832070440838,idle
433,0.287304,0.234632,3.2695767463163934,0.01915400000000006,0.0239419999999999,15.0,0.010864539999999978,-0.014365,-0.7162631285292816,0.015376890923612151,0.023701411185131263,-0.03137469755265495,idle
